All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,13/08/2026 15:54
Date Period,06/08/2026 - 06/08/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types,Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,05/08/2026 00:00:00,08/08/2026 23:59:59,215,1,0.47%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.17,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
