All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,14/09/2026 11:24
Date Period,08/09/2026 - 08/09/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Korean-made PDRN Pink Collagen Hyaluronic Acid Niacinamide Hydrogel Face Overnight Mask Anti-aging Firming Brightening Wrapping Mask,Ongoing,Product Ad,48166848317,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,28/08/2026 00:00:00,Unlimited,25,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.02,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
