All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,14/09/2026 11:21
Date Period,03/09/2026 - 03/09/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Anua - Kpop Demon Hunters Vita C Porestrix Brightening Serum Mask,Ended,Product Ad,26745706464,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,01/09/2026 00:00:00,Unlimited,76,2,2.63%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.61,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
2,Korean-made PDRN Pink Collagen Hyaluronic Acid Niacinamide Hydrogel Face Overnight Mask Anti-aging Firming Brightening Wrapping Mask,Ongoing,Product Ad,48166848317,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,28/08/2026 00:00:00,Unlimited,513,13,2.53%,3,23.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.47,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
