Ad Group - Shopee {Country}
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,13/08/2026 15:47
Date Period,05/08/2026 - 13/08/2026

Sequence,Ad / Product Name,Status,Ads Type,Product ID,Bidding Method,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Voucher Amount,Vouchered Sales
