All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,13/08/2026 15:46
Date Period,05/08/2026 - 13/08/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Keyword/Location,Match Type,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR
1,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [2],Ongoing,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,Auto Selected,-,10/08/2026 00:00:00,13/08/2026 23:59:59,714,4,0.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.81,0.00,0.00,0.00%,0.00%,-,-,-
2,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types,Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,Auto Selected,-,05/08/2026 00:00:00,08/08/2026 23:59:59,1345,4,0.30%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.71,0.00,0.00,0.00%,0.00%,-,-,-
