supplier_id,product_id,supplier_name,product_name,supplier_score,product_cost_score,moq_score,images_quality_score,supplier_response_time_score,supplier_tenure_score,place_of_origin_score,classification
3003,3,BrandLab CO Ltd,Makeup puff,0.698815384481029,0.50251256281407,1,0.8,0.5,0.356207187108022,1,Review
3005,3,Cando Korea,Makeup puff,0.582621257778235,0.543478260869565,0.910239226626837,0.2,0.0434782608695652,0.356207187108022,1,Review
3002,3,Cando Korea,Makeup puff,0.553909198713428,0.471698113207547,0.910239226626837,0.2,0.0434782608695652,0.356207187108022,1,Review
3004,3,Paradine Inc,Makeup puff,0.535882127343452,0.416666666666667,0.910239226626837,0.2,0.0833333333333333,0.356207187108022,1,Avoid
3007,3, Paradine Inc,Makeup puff,0.532480766799235,0.408163265306122,0.910239226626837,0.2,0.0833333333333333,0.356207187108022,1,Avoid
3008,3,Cando Korea,Makeup puff,0.527831579446669,0.40650406504065,0.910239226626837,0.2,0.0434782608695652,0.356207187108022,1,Avoid
3000,3, Wishglam Co Ltd,Makeup puff,0.460166453594269,0.434782608695652,0.417032391424246,0.6,0.333333333333333,0.356207187108022,1,Avoid
3006,3,KBEAUTY CITY,Makeup puff,0.38566954199589,0.434782608695652,0.144743883947654,0.6,0.0833333333333333,1,1,Avoid
3010,3,coslife corporation Ltd,Makeup puff,0.381901828388159,0.252525252525253,0.276937893408857,0.8,0.5,0.356207187108022,1,Avoid
3001,3, Wonnie's Choice,Makeup puff,0.362814078956061,0.25,0.216679065335532,0.8,0.5,0.356207187108022,1,Avoid
3009,3, KOTRA (Korea Trade and Investment Promotion Agency),Makeup puff,0.358130997686749,0.142857142857143,0.254334778144042,1,0.333333333333333,0.827087475346916,1,Avoid
