All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,26/08/2026 09:35
Date Period,05/08/2026 - 25/08/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [5],Ongoing,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,25/08/2026 00:00:00,31/08/2026 23:59:59,312,1,0.32%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.40,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
2,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [4],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,18/08/2026 00:00:00,24/08/2026 23:59:59,2450,12,0.49%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,11.17,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
3,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types,Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,05/08/2026 00:00:00,08/08/2026 23:59:59,1345,4,0.30%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.71,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
4,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [3],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,14/08/2026 00:00:00,17/08/2026 23:59:59,1116,7,0.63%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,6.62,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [2],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,10/08/2026 00:00:00,13/08/2026 23:59:59,746,4,0.54%,1,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.81,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
