All CPC Ads Report - Shopee Singapore
User Name,llmcoreai.sg
Shop Name,llmcoreai.sg
Shop ID,1845924651
Report Creation Time,14/09/2026 13:46
Date Period,28/08/2026 - 13/09/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Add to Cart,Add to Cart Rate,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
1,Anua - Kpop Demon Hunters Vita C Porestrix Brightening Serum Mask,Ended,Product Ad,26745706464,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,01/09/2026 00:00:00,Unlimited,76,2,2.63%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.61,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
2,Korean-made PDRN Pink Collagen Hyaluronic Acid Niacinamide Hydrogel Face Overnight Mask Anti-aging Firming Brightening Wrapping Mask,Ongoing,Product Ad,48166848317,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,28/08/2026 00:00:00,Unlimited,4410,65,1.47%,8,12.31%,1,1,1.54%,1.54%,24.64,24.64,1,1,14.32,14.32,24.64,0.58,0.58,172.05%,172.05%,-,-,-,0.00,0.00
3,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [5],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,25/08/2026 00:00:00,28/08/2026 16:07:51,101,1,0.99%,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
4,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [4],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,18/08/2026 00:00:00,24/08/2026 23:59:59,2,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
5,[10 sheets] Korean Natural Firming Sheet Mask – Wrinkle & Elasticity Boost – 1% Vitamin Complex – Dermatologist Tested – 5 Collagen Peptide – All Skin Types [2],Ended,Product Ad,50665187501,-,"Stage 1: GMV Max Auto Bidding, Stage 2: GMV Max Auto Bidding",All,10/08/2026 00:00:00,13/08/2026 23:59:59,2,0,0.00%,0,-,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00%,-,-,-,0.00,0.00
